,transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
0,1-11-2001-165,11,1,مبايعات,Sales,بيع,Sell,24-02-2001,1,أرض,Land,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,364,الوصل,Al Wasl,,,,,,,,,,,,,,,,0,1393.55,1350000.0,968.75,,,1.0,1.0,0.0
1,3-9-2004-223,9,3,هبات,Gifts,هبه,Grant,13-12-2004,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,365,الحضيبه,Al Hudaiba,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو الجافلية,Al Jafiliya Metro Station,مول دبي,Dubai Mall,,,0,1728.0,2790000.0,1614.58,,,1.0,1.0,0.0
2,2-13-1996-119,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,12-03-2001,1,أرض,Land,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,390,برج خليفة,Burj Khalifa,,,,,,,,,,,,,,,,0,929.03,20000000.0,21527.83,,,1.0,1.0,0.0
3,2-14-2005-222,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,20-09-2005,2,مبنى,Building,,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,388,عود ميثا,Oud Metha,,,,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو عود ميثاء,Oud Metha Metro Station,مول دبي,Dubai Mall,,,0,2673.28,25000000.0,9351.81,,,1.0,1.0,0.0
4,3-9-2012-874,9,3,هبات,Gifts,هبه,Grant,11-10-2012,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,1541.17,9000000.0,5839.72,,,1.0,1.0,0.0
5,1-11-2001-230,11,1,مبايعات,Sales,بيع,Sell,18-03-2001,2,مبنى,Building,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.35,850000.0,4021.76,,,5.0,1.0,0.0
6,2-13-2005-88,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,07-02-2005,2,مبنى,Building,,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,1969.54,4500000.0,2284.8,,,1.0,1.0,0.0
7,3-9-2008-90,9,3,هبات,Gifts,هبه,Grant,12-06-2008,2,مبنى,Building,,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,367,السوق الكبير,Al Suq Al Kabeer,,,,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الغبيبة,Al Ghubaiba Metro Station,مول دبي,Dubai Mall,,,0,960.99,50000000.0,52029.68,,,1.0,1.0,0.0
8,3-9-2017-2436,9,3,هبات,Gifts,هبه,Grant,19-12-2017,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,267,الرفاعه,Al Raffa,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو الغبيبة,Al Ghubaiba Metro Station,مول دبي,Dubai Mall,,,0,4645.15,22499968.0,4843.75,,,1.0,1.0,0.0
9,1-11-2002-300031,11,1,مبايعات,Sales,بيع,Sell,25-03-2002,1,أرض,Land,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,269,الحمريه,Al Hamriya,,,,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو برجمان,Burjuman Metro Station,مول دبي,Dubai Mall,,,0,37.53,121194.0,3229.26,,,1.0,6.0,0.0
